Cross,Replicate,Mother_strain,Father_strain,Treatment,Block,Gen_1,Gen_2,Gen_3,Gen_4,Gen_5,Gen_6,Gen_7,Gen_8,Gen_9,Gen_10,Gen_11,Gen_12,Gen_13,Gen_14,Gen_15,Gen_16,Gen_17,Gen_18,Gen_19,Gen_20
1,1,P1_UBI_female,P2_UBI_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,P1_UBI_female,P2_UBI_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,P1_UBI_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,P1_UBI_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA
1,8,P1_UBI_female,P2_UBI_female,Female,1,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,10,P2_UBI_female,P1_UBI_female,Female,1,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,P1_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,P1_UBI_female,P3_3xp_female,Female,1,FEMALE,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6,P1_UBI_female,P3_3xp_female,Female,1,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,P1_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NO,MALE,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,P1_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,P1_UBI_female,P3_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,P3_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,P3_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7,P3_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,9,P3_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA
5,2,P1_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NO,NA,NA,NA,NA,NA
5,3,P1_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,P1_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,P1_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7,P1_UBI_female,P4_3xp_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,P4_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,P4_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,P4_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,9,P4_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO
6,10,P4_3xp_female,P1_UBI_female,Female,1,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
