Cross,Replicate,Mother_strain,Father_strain,Treatment,Block,Generation,Female_offspring,Male_offspring,Pre_window_female_offspring,Pre_window_male_offspring,Count_conditions
1,1,P1_UBI_female,P2_UBI_female,Female,1,1,20,25,17,14,Normal
1,4,P1_UBI_female,P2_UBI_female,Female,1,1,54,59,1,0,Normal
1,5,P1_UBI_female,P2_UBI_female,Female,1,1,37,43,NA,NA,Normal
1,6,P1_UBI_female,P2_UBI_female,Female,1,1,43,49,NA,NA,Normal
1,8,P1_UBI_female,P2_UBI_female,Female,1,1,41,53,NA,NA,Normal
2,1,P2_UBI_female,P1_UBI_female,Female,1,1,55,60,0,0,Normal
2,3,P2_UBI_female,P1_UBI_female,Female,1,1,56,74,1,0,Normal
2,5,P2_UBI_female,P1_UBI_female,Female,1,1,55,56,NA,NA,Normal
2,6,P2_UBI_female,P1_UBI_female,Female,1,1,43,43,NA,NA,Normal
2,7,P2_UBI_female,P1_UBI_female,Female,1,1,42,44,NA,NA,Normal
2,8,P2_UBI_female,P1_UBI_female,Female,1,1,44,40,NA,NA,Normal
2,10,P2_UBI_female,P1_UBI_female,Female,1,1,53,57,NA,NA,Normal
3,3,P1_UBI_female,P3_3xp_female,Female,1,1,29,47,10,2,Normal
3,5,P1_UBI_female,P3_3xp_female,Female,1,1,31,43,4,0,Normal
3,6,P1_UBI_female,P3_3xp_female,Female,1,1,51,44,NA,NA,Normal
3,7,P1_UBI_female,P3_3xp_female,Female,1,1,71,64,NA,NA,Normal
3,8,P1_UBI_female,P3_3xp_female,Female,1,1,48,54,NA,NA,Normal
3,10,P1_UBI_female,P3_3xp_female,Female,1,1,51,53,NA,NA,Normal
4,1,P3_3xp_female,P1_UBI_female,Female,1,1,54,59,2,0,Normal
4,2,P3_3xp_female,P1_UBI_female,Female,1,1,58,66,0,0,Normal
4,7,P3_3xp_female,P1_UBI_female,Female,1,1,61,63,NA,NA,Normal
4,9,P3_3xp_female,P1_UBI_female,Female,1,1,44,45,NA,NA,Normal
5,2,P1_UBI_female,P4_3xp_female,Female,1,1,65,46,0,0,Normal
5,3,P1_UBI_female,P4_3xp_female,Female,1,1,20,31,11,5,Normal
5,4,P1_UBI_female,P4_3xp_female,Female,1,1,57,62,NA,NA,Normal
5,5,P1_UBI_female,P4_3xp_female,Female,1,1,44,57,NA,NA,Normal
5,7,P1_UBI_female,P4_3xp_female,Female,1,1,8,17,NA,NA,Normal
6,1,P4_3xp_female,P1_UBI_female,Female,1,1,57,59,7,7,Normal
6,6,P4_3xp_female,P1_UBI_female,Female,1,1,87,62,3,0,Normal
6,7,P4_3xp_female,P1_UBI_female,Female,1,1,49,53,NA,NA,Normal
6,9,P4_3xp_female,P1_UBI_female,Female,1,1,54,63,NA,NA,Normal
6,10,P4_3xp_female,P1_UBI_female,Female,1,1,55,71,NA,NA,Normal
7,3,P2_UBI_female,P3_3xp_female,Female,1,1,55,64,7,2,Normal
7,4,P2_UBI_female,P3_3xp_female,Female,1,1,45,65,11,9,Normal
7,5,P2_UBI_female,P3_3xp_female,Female,1,1,49,46,NA,NA,Normal
7,6,P2_UBI_female,P3_3xp_female,Female,1,1,56,67,NA,NA,Normal
7,8,P2_UBI_female,P3_3xp_female,Female,1,1,23,29,NA,NA,Normal
8,3,P3_3xp_female,P2_UBI_female,Female,1,1,62,60,4,1,Normal
8,4,P3_3xp_female,P2_UBI_female,Female,1,1,0,0,NA,NA,Normal
8,7,P3_3xp_female,P2_UBI_female,Female,1,1,47,43,4,2,Normal
8,10,P3_3xp_female,P2_UBI_female,Female,1,1,45,41,NA,NA,Normal
9,1,P2_UBI_female,P4_3xp_female,Female,1,1,38,59,16,10,Normal
9,2,P2_UBI_female,P4_3xp_female,Female,1,1,42,65,18,6,Normal
9,4,P2_UBI_female,P4_3xp_female,Female,1,1,0,0,NA,NA,Normal
9,5,P2_UBI_female,P4_3xp_female,Female,1,1,51,67,NA,NA,Normal
9,6,P2_UBI_female,P4_3xp_female,Female,1,1,28,35,NA,NA,Normal
10,2,P4_3xp_female,P2_UBI_female,Female,1,1,40,44,15,15,Normal
10,3,P4_3xp_female,P2_UBI_female,Female,1,1,54,50,9,14,Normal
10,4,P4_3xp_female,P2_UBI_female,Female,1,1,41,52,NA,NA,Normal
10,5,P4_3xp_female,P2_UBI_female,Female,1,1,59,62,NA,NA,Normal
10,6,P4_3xp_female,P2_UBI_female,Female,1,1,56,41,NA,NA,Normal
11,1,P3_3xp_female,P4_3xp_female,Female,1,1,76,42,1,0,Normal
11,3,P3_3xp_female,P4_3xp_female,Female,1,1,60,52,0,0,Normal
11,4,P3_3xp_female,P4_3xp_female,Female,1,1,54,40,NA,NA,Normal
11,5,P3_3xp_female,P4_3xp_female,Female,1,1,57,55,NA,NA,Normal
11,7,P3_3xp_female,P4_3xp_female,Female,1,1,28,48,NA,NA,Normal
12,6,P4_3xp_female,P3_3xp_female,Female,1,1,58,54,0,0,Normal
12,7,P4_3xp_female,P3_3xp_female,Female,1,1,65,55,1,0,Normal
12,8,P4_3xp_female,P3_3xp_female,Female,1,1,57,50,NA,NA,Normal
12,9,P4_3xp_female,P3_3xp_female,Female,1,1,19,19,NA,NA,Normal
13,1,P1_3xp_male,P2_3xp_male,Male,1,1,48,53,16,8,Normal
13,2,P1_3xp_male,P2_3xp_male,Male,1,1,42,42,8,5,Normal
13,4,P1_3xp_male,P2_3xp_male,Male,1,1,21,16,NA,NA,Normal
13,5,P1_3xp_male,P2_3xp_male,Male,1,1,57,55,NA,NA,Normal
14,2,P2_3xp_male,P1_3xp_male,Male,1,1,48,39,0,0,Normal
14,3,P2_3xp_male,P1_3xp_male,Male,1,1,43,18,0,0,Normal
14,5,P2_3xp_male,P1_3xp_male,Male,1,1,42,46,NA,NA,Normal
14,6,P2_3xp_male,P1_3xp_male,Male,1,1,35,42,NA,NA,Normal
14,7,P2_3xp_male,P1_3xp_male,Male,1,1,56,47,NA,NA,Normal
15,1,P1_3xp_male,P3_UBI_male,Male,1,1,62,52,0,0,Normal
15,2,P1_3xp_male,P3_UBI_male,Male,1,1,46,33,0,0,Normal
15,3,P1_3xp_male,P3_UBI_male,Male,1,1,54,65,NA,NA,Normal
15,4,P1_3xp_male,P3_UBI_male,Male,1,1,44,65,NA,NA,Normal
15,5,P1_3xp_male,P3_UBI_male,Male,1,1,72,55,NA,NA,Normal
16,1,P3_UBI_male,P1_3xp_male,Male,1,1,56,69,5,2,Normal
16,2,P3_UBI_male,P1_3xp_male,Male,1,1,40,66,13,5,Normal
